央卫稳定,#genre#
C1,http://222.85.198.92:8000/hls/1/index.m3u8
C2,http://222.85.198.92:8000/hls/2/index.m3u8
C3,http://222.85.198.92:8000/hls/3/index.m3u8
C4,http://222.85.198.92:8000/hls/4/index.m3u8
C5,http://222.85.198.92:8000/hls/5/index.m3u8
C5+,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv5p
C6,http://222.85.198.92:8000/hls/6/index.m3u8
C7,http://222.85.198.92:8000/hls/7/index.m3u8
C8,http://222.85.198.92:8000/hls/8/index.m3u8
C9,http://222.89.29.232:808/hls/9/index.m3u8
C10,http://222.85.198.92:8000/hls/9/index.m3u8
C11,http://222.85.198.92:8000/hls/10/index.m3u8
C12,http://222.85.198.92:8000/hls/11/index.m3u8
C13,http://222.85.198.92:8000/hls/12/index.m3u8
C14,http://222.85.198.92:8000/hls/13/index.m3u8
C15,http://222.85.198.92:8000/hls/14/index.m3u8
C16,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv16
C17,http://222.85.198.92:8000/hls/15/index.m3u8
北京,http://222.85.198.92:8000/hls/29/index.m3u8
湖南,http://222.85.198.92:8000/hls/17/index.m3u8
四川,http://222.85.198.92:8000/hls/46/index.m3u8
河南,http://222.85.198.92:8000/hls/27/index.m3u8
安徽,http://222.85.198.92:8000/hls/20/index.m3u8
贵州,http://222.85.198.92:8000/hls/16/index.m3u8
江苏,http://222.85.198.92:8000/hls/19/index.m3u8
浙江,http://222.85.198.92:8000/hls/18/index.m3u8
山东,http://222.85.198.92:8000/hls/43/index.m3u8
云南,http://222.85.198.92:8000/hls/35/index.m3u8
江西,http://222.85.198.92:8000/hls/44/index.m3u8
龙江,http://222.85.198.92:8000/hls/45/index.m3u8
C1,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv1
C2,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv2
C3,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv3
C4,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv4
C5,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv5
C6,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv6
C7,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv7
C8,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv8
C9,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv9
C10,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv10
C11,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv11
C12,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv12
C13,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv13
C14,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv14
C15,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv15
C17,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv17

超清央卫,#genre#
CCTV1-综合HD,http://vip1.xinketongxun.fun:8082/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2-财经HD,http://vip1.xinketongxun.fun:8082/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3-综艺HD,http://vip1.xinketongxun.fun:8082/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4-国际HD,http://vip1.xinketongxun.fun:8082/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5-体育HD,http://vip1.xinketongxun.fun:8082/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
