💮2026春晚,#genre#
2026中央电视台春晚,https://vip.dytt-cinema.com/20260217/49525_0527dc6a/index.m3u8
2026中央电视台春晚,https://v.lzcdn28.com/20260217/8616_1de9f6e5/index.m3u8
2026中央电视台网络春晚,https://vodcnd11.3rut0.com/20260217/kwxRbr2A/index.m3u8
2026辽宁春晚,https://cdn.yzzy33-play.com/20260216/8104_9078f2a8/index.m3u8
2026辽宁春晚上,https://vip.ffzy-online3.com/20260216/42060_1685a130/index.m3u8
2026辽宁春晚下,https://vip.ffzy-online3.com/20260216/42061_e6b61cb3/index.m3u8
2026吉林春晚,https://vip.ffzy-online3.com/20260214/42011_d60c24a3/index.m3u8
2026山东春晚,https://vip.ffzy-online3.com/20260216/42052_1729dfd5/index.m3u8
2026河南春晚,https://vip.dytt-cinema.com/20260214/49310_0cf88020/index.m3u8
2026深圳春晚,https://cdn.yzzy29-play.com/20260215/20055_05d9bada/index.m3u8
2026深圳春晚,https://gur.xn--789-2f0fs81f34x.com:16688/dyyzapijson.php?url=https://cdn.yzzy29-play.com/20260215/20055_05d9bada/index.m3u8
2026安徽春晚,https://cdn.yzzy33-play.com/20260216/8072_85dfba75/index.m3u8
2026川渝春晚,https://gur.xn--789-2f0fs81f34x.com:16688/dyyzapijson.php?url=https://cdn.yzzy33-play.com/20260215/8071_82138b11/index.m3u8
2026河南春晚,https://v13.yuglf.com/202602/15/ukzVZaxzSS27/video/index.m3u8
2026河南春晚,https://svip.ryplay17.com/20260214/12391_b6319790/index.m3u8
2026河南春晚,https://v.lzcdn28.com/20260214/8538_d62f6909/index.m3u8
2026黄河民歌春晚,https://play.modujx11.com/20260215/74j8rwfr/index.m3u8
2026蓉港新春晚,https://vodcnd11.3rut0.com/20260216/OfZbpUsA/index.m3u8
2026沈阳春晚,https://gur.xn--789-2f0fs81f34x.com:16688/dyyzapijson.php?url=https://v.lzcdn28.com/20260214/8541_b139b484/index.m3u8

央广频道,#genre#
BCC中广流行,http://stream.rcs.revma.com/aw9uqyxy2tzuv
BCC中广新闻,http://stream.rcs.revma.com/78fm9wyy2tzuv
BCC中广音乐,http://stream.rcs.revma.com/ks4vsmg3qtzuv
CNR 藏语广播 ,http://ngcdn012.cnr.cn/live/zygb/index.m3u8
CNR 哈语广播 ,http://ngcdn025.cnr.cn/live/hygb/index.m3u8
CNR 华夏之声 ,http://ngcdn007.cnr.cn/live/hxzs/index.m3u8
CNR 经典音乐广播 101.8 ,http://ngcdn004.cnr.cn/live/dszs/index.m3u8
CNR 经济之声 ,http://ngcdn002.cnr.cn/live/jjzs/index.m3u8
CNR 老年之声 ,http://ngcdn011.cnr.cn/live/lnzs/index.m3u8
CNR 神州之声 ,http://ngcdn006.cnr.cn/live/szzs/index.m3u8
CNR 维语广播 ,http://ngcdn013.cnr.cn/live/wygb/index.m3u8
CNR 文艺之声 ,http://ngcdn010.cnr.cn/live/wyzs/index.m3u8
CNR 香港之声 ,http://ngcdn008.cnr.cn/live/xgzs/index.m3u8
CNR 音乐之声 ,http://ngcdn003.cnr.cn/live/yyzs/index.m3u8
CNR 娱乐广播 ,http://ngcdn014.cnr.cn/live/ylgb/index.m3u8
CNR 中国交通广播 ,http://ngcdn016.cnr.cn/live/gsgljtgb/index.m3u8
CNR 中国乡村之声 ,http://ngcdn017.cnr.cn/live/xczs/index.m3u8
CNR 中国之声 ,http://ngcdn001.cnr.cn/live/zgzs/index.m3u8
CNR 中华之声 ,http://ngcdn005.cnr.cn/live/zhzs/index.m3u8
CNR民族之声,http://ngcdn009.cnr.cn/live/mzzs/index.m3u8

国际频道,#genre#
Capital FM,http://22893.live.streamtheworld.com:3690/CAPITAL958FMAAC.aac
China Plus Radio,https://sk.cri.cn/am846.m3u8
Class FM,http://22393.live.streamtheworld.com/CLASS95.mp3
CNA938,http://playerservices.streamtheworld.com/api/livestream-redirect/938NOW_PREM.aac
CRI Easy FM – FM91.5,http://sk.cri.cn/915.m3u8
CRI Hit FM FM88.7 ,http://sk.cri.cn/887.m3u8
CRI NEWS Plus AM1008 ,http://sk.cri.cn/am1008.m3u8
CRI NEWS Plus AM846,http://sk.cri.cn/am846.m3u8
CRI 环球资讯广播 FM90.5 ,http://sk.cri.cn/905.m3u8
CRI 南海之声 ,http://sk.cri.cn/nhzs.m3u8
CRI 中文环球广播 ,http://sk.cri.cn/hyhq.m3u8
CRI世界华声,http://sk.cri.cn/hxfh.m3u8
DRHK,http://ice.digitalradiohk.net:8000/drhk
Gold FM,http://22903.live.streamtheworld.com:3690/GOLD905_PREM.aac
Hao FM,http://playerservices.streamtheworld.com/api/livestream-redirect/HAO_963.mp3
HITFM国际流行音乐,https://sk.cri.cn/887.m3u8
MSNBC Radio,http://peridot.streamguys.com:7850/live
NPR News,http://npr-ice.streamguys1.com/live.mp3
Power FM,https://crystalout.surfernetwork.com:8001/KVSP_MP3
Times Radio,http://timesradio.wireless.radio/stream

上海,#genre#
上海东方广播,https://satellitepull.cnr.cn/live/wx32dfgbdt/playlist.m3u8
上海新闻广播,https://satellitepull.cnr.cn/live/wx32shrmgb/playlist.m3u8

云南,#genre#
云南国际广播,https://satellitepull.cnr.cn/live/wxynsegb/playlist.m3u8
云南交通之声,https://satellitepull.cnr.cn/live/wxynjtgb/playlist.m3u8
云南教育广播,https://satellitepull.cnr.cn/live/wxynjygb/playlist.m3u8
云南经济广播,https://satellitepull.cnr.cn/live/wxynjjgb/playlist.m3u8
云南民族广播,https://satellitepull.cnr.cn/live/wxynmzgb/playlist.m3u8
云南新闻广播,https://satellitepull.cnr.cn/live/wxynxwgb/playlist.m3u8
云南音乐广播,https://satellitepull.cnr.cn/live/wxynyygb/playlist.m3u8

内蒙古,#genre#
内蒙古对外广播,https://satellitepull.cnr.cn/live/wx32nmgdwgb/playlist.m3u8
内蒙古汉语广播,https://satellitepull.cnr.cn/live/wx32nmghyzhxwgb/playlist.m3u8
内蒙古交通之声,https://satellitepull.cnr.cn/live/wx32nmgjtgb/playlist.m3u8
内蒙古经济生活,https://satellitepull.cnr.cn/live/wx32nmgjjgb/playlist.m3u8
内蒙古绿野之声,https://satellitepull.cnr.cn/live/wx32nmglyzs/playlist.m3u8
内蒙古蒙古语广播,https://satellitepull.cnr.cn/live/wx32nmgmygb/playlist.m3u8
内蒙古评书曲艺,https://satellitepull.cnr.cn/live/wx32nmgpsqy/playlist.m3u8
内蒙古音乐之声,https://satellitepull.cnr.cn/live/wx32nmgyygb/playlist.m3u8

北京,#genre#
北京城市广播,http://ls.qingting.fm/live/345.m3u8
北京城市广播,https://satellitepull.cnr.cn/live/wxbjcsfwgl/playlist.m3u8
北京房山经典音乐 FM96.9,http://live.xmcdn.com/live/963/64.m3u8
北京好音乐 FM95.9,http://ls.qingting.fm/live/2131011.m3u8
北京交通广播,https://cnlive.cnr.cn/hls/bjjtgb.m3u8
北京经典调频,http://live.funhillrm.com/4/sd/live.m3u8
北京文艺广播 FM87.6,http://live.xmcdn.com/live/94/64.m3u8
北京新闻广播,https://satellitepull.cnr.cn/live/wxbjxwgb/playlist.m3u8
北京音乐广播,https://cnlive.cnr.cn/hls/bjyygb.m3u8

吉林,#genre#
吉林交通广播,https://satellitepull.cnr.cn/live/wxjljtgb/playlist.m3u8
吉林经济广播,https://satellitepull.cnr.cn/live/wxjljjgb/playlist.m3u8
吉林乡村广播,https://satellitepull.cnr.cn/live/wxjlxcgb/playlist.m3u8
吉林新闻综合,https://satellitepull.cnr.cn/live/wxjlxwzhgb/playlist.m3u8

四川,#genre#
四川财富广播 FM94.0,http://ls.qingting.fm/live/4927.m3u8
四川城市之音,https://satellitepull.cnr.cn/live/wxsccszs/playlist.m3u8
四川交通广播,https://satellitepull.cnr.cn/live/wxscjtgb/playlist.m3u8
四川经济广播,https://satellitepull.cnr.cn/live/wxscjjgb/playlist.m3u8
四川民族广播 AM954,http://ls.qingting.fm/live/1115.m3u8
四川民族频率,https://satellitepull.cnr.cn/live/wxscmzgb/playlist.m3u8
四川岷江音乐,https://satellitepull.cnr.cn/live/wxscmjyyt/playlist.m3u8
四川私家车925,https://satellitepull.cnr.cn/live/wxsc925/playlist.m3u8
